genes	HGMD_inheritance	OMIM_inheritance	GeneCC_inheritance
CEL	AD	AD	AD
CELSR1	AD	AD	AD
CELSR2	ADAR		
CELSR3	AR		
CENPJ	AR	AR	AR
CEP104	AR	AR	AR
CEP120	AR	AR	AR
CEP152	AR	AR	AR
CEP250	AR	AR	AR
CEP290	AR	AR	AD;AR
CEP41	AR	AR	AR
CEP57	AR	AR	AD;AR
CEP63	AR	AR	AR
CERKL	AR	AR	AD;AR
CERS3	AR	AR	AR
CETP	AD	AD	AD
CFAP410	AR	AR	AD
CFAP43	AR	AD;AR	AD;AR
CFB	AD	AD;AR;Digenic dominant	AD;AR
CFC1	AD	AD	AD
CFD	AR	AR	AR
CFH	ADAR	AD;AR,AD	AD;AR
CFHR1	AR	AD;AR,AD	AD;AR
CFHR2	AR		
CFHR5	AD	AD	AD
CFI	AD	AD;AR	AD;AR
CFL2	AR	AR	AD;AR
CFP	XLR	XLR	XL
CFTR	AR	AD;AR	AD;AR
CHAMP1	AD	AD	AD
CHAT	AR	AR	AD;AR
CHCHD10	AD	AD	AD
CHCHD2	AD	AD	AD
CHD2	AD	AD	AD
CHD4	AD	AD	AD
CHD7	AD	AD	AD;AR
CHD8	AD	AD	AD
CHEK2	AD	AD,Somatic mutation	AD;AR
CHKB	AR	AR	AR
CHM	XLD	XL	XL;XLR
CHMP2B	AD	AD	AD
CHN1	AD	AD;AR,AD	AD
CHRDL1	XLR	XLR	XL;XLR
CHRM3	AR	AR	AD;AR
CHRNA1	ADAR	AD;AR;AR,AD	AD;AR
CHRNA2	AD	AD	AD
CHRNA4	AD	AD	AD
CHRNA7	AD		AD
CHRNB1	ADAR	AD;AR	AD;AR
CHRND	ADAR	AD;AR	AD;AR
CHRNE	AR	AR;AR,AD	AD;AR
CHRNG	AR	AR	AR
CHST14	AR	AR	AR
CHST3	AR	AR	AR
CHST6	AR	AR	AR
CHSY1	AR	AR	AR
CIB2	AR	AR	AR
CIITA	AR	AR	AR
CILK1	AR	AD;AR	AD;AR
CISD2	AR	AR	AR
CISH	AR		
CITED2	AD	AD	AD
CKAP2L	AR	AR	AD;AR
CLCF1	AR	AR	AR
CLCN1	ADAR	AD;AR	AD;AR
CLCN2	ADAR	AD;AR	AD;AR
CLCN4	XLR	XLD	XL
CLCN5	XLR	XLR	XL
CLCN7	ADAR	AD;AR	AD;AR;sD
CLCNKB	AR	AR;Digenic recessive	AR
CLDN1	AR	AR	AR
CLDN14	AR	AR	AR
CLDN16	AR	AR	AR
CLDN19	AR	AR	AR
CLEC7A	AR	AR	AD
CLIP1	AR		AR
CLMP	AR	AR	AR
CLN3	AR	AR	AR
CLN5	AR	AR	AR
CLN6	AR	AR	AR
CLN8	AR	AR	AD;AR
CLPB	AR	AD;AR	AR
CLPP	AR	AR	AR
CLRN1	AR	AR	AD;AR
CLTC	AD	AD	AD
CLTCL1	AR		AD;AR
CNGA1	AR	AR	AD;AR
CNGA3	AR	AR	AD;AR
CNGB1	ADAR	AR	AD;AR
CNGB3	AR	AR	AD;AR
CNNM2	AD	AD;AR,AD	AD;AR
CNNM4	AR	AR	AR
CNR1	AD		
CNTN1	AR	AR	AR
CNTN2	AR	AR	AD;AR
CNTN6	AD		
CNTNAP2	AR	AR	AD;AR
CNTNAP5	AR		
COCH	ADAR	AD;AR	AD;AR
COG1	AR	AR	AR
COG4	AR	AD;AR	AD;AR
COG5	AR	AR	AR
COG7	AR	AR	AR
COG8	AR		AR
COL10A1	AD	AD	AD
COL11A1	AD	AD;AR	AD;AR
COL11A2	ADAR	AD;AR;AR,AD	AD;AR
COL17A1	AR	AD;AR	AD;AR
COL18A1	AR	AD;AR	AR
COL1A1	AD	AD	AD
COL1A2	ADAR	AD;AR	AD;AR
COL2A1	AD	AD	AD;AR
COL3A1	AD	AD;AR	AD;AR
COL4A1	AD	AD	AD;AR
COL4A2	AD	AD	AD
COL4A3	ADAR	AD;AR	AD;AR;sD
COL4A4	ADAR	AD;AR	AD;AR;sD
COL4A5	XLD	XLD	XL
COL5A1	AD	AD	AD
COL5A2	AD	AD	AD
COL6A1	AD	AR,AD	AD;AR
COL6A2	ADAR	AR;AR,AD	AD;AR
COL6A3	AD	AR;AR,AD	AD;AR;sD
COL7A1	ADAR	AD;AR;AR,AD	AD;AR
COL8A2	AD	AD	AD
COL9A1	AR	AD	AD;AR
COL9A3	AD	AD;AR	AD;AR
COLEC11	AR	AR	AR
COLQ	AR	AR	AR
COMP	AD	AD	AD
COMT	AR	?AD;AD	AD
COQ2	AR	AR;AR,AD	AR
COQ4	AR	AR	AR
COQ6	AR	AR	AD;AR
COQ8A	AR	AR	AR
COQ8B	AR	AR	AD;AR
COQ9	AR	AR	AR
COX10	AR	AR	AR
COX15	AR	AR	AR
COX4I2	AR	AR	AR
COX6B1	AR	AR	AR
CP	AR	AR	AR
CPA1	AD		AD
CPA6	AR	AR;AR,AD	AD;AR
CPLANE1	AR	AR	AR
CPN1	AR	AR	AR
CPOX	AD	AR;AR,AD	AD;AR
CPS1	AR	AR	AR
CPT1A	AR	AR	AR
CPT1C	AD	AD	AD
CPT2	AR	AR;AR,AD	AR
CR1	AD		
CRB1	AR	AD;AR	AD;AR
CRB2	AR	AR	AD;AR
CRBN	AR	AR	AR
CREB3L1	AR	AR	AD;AR
CREBBP	AD	AD	AD
CRELD1	AD	AD	AD
CRH	ADAR		AD
CRLF1	AR	AR	AR
CRPPA	AR	AR	AR
CRTAP	AR	AR	AD;AR
CRX	AD	AD	AD;AR;sD
CRYAA	ADAR	AR,AD	AD;AR
CRYAB	ADAR	AD;AR;AR,AD	AD;AR
CRYBA1	ADAR	AD	AD
CRYBA2	ADAR	AD	AD;sD
CRYBA4	AR		AD
CRYBB1	ADAR	AR,AD	AD;AR;sD
CRYBB2	AD	AD	AD
CRYBB3	ADAR	AR,AD	AD;AR;sD
CRYGC	AD	AD	AD
CRYGD	AD	AD	AD
CRYGS	AD	AD	AD
CRYM	AD	AD	AD
CSF1R	AD	AD;AR	AD;AR
CSF2RB	AR	AR	AR
CSF3R	AD	AD;AR	AD;AR
CSMD1	AD		AD
CSMD2	AR		
CSNK1D	AD	AD	AD
CSNK2A1	AD	AD	AD
CSPP1	AR	AR	AR
CSRP3	AD	AD	AD
CST3	AD	AD	AD
CSTA	AR	AR	AR
CSTB	AR	AR	AD;AR
CTC1	AR	AR	AD;AR
CTCF	AD	AD	AD
CTDP1	AR	AR	AR
CTH	AR	AR	AR
CTLA4	AD	AD	AD
CTNNA3	AD	AD	AD
CTNNB1	AD	AD	AD
CTNND2	AD		AD
CTNS	AR	AR	AR
CTRC	AD	AD	AD
CTSA	AR	AR	AR
CTSC	AR	AR	AR
CTSD	AR	AR	AR
CTSF	AR	AR	AR
CTSK	AR	AR	AR
CUBN	AR	AR	AR
CUL3	AD	AD	AD
CUL4B	XLR	XLR	XL;XLR
CUL7	AR	AR	AR
CWF19L1	AR	AR	AR
CXCR4	AD	AD	AD
CYB5A	AR	AR	AR
CYB5R3	AR	AR	AR
CYBA	AR	AR	AR
CYBB	XLR	XLR	AR;XL
CYCS	AD	AD	AD
CYLD	AD	AD	AD
CYP11A1	AR		AD;AR
CYP11B1	AR	AD;AR	AD;AR
CYP11B2	AR	AR	AR
CYP17A1	AR	AR	AR
CYP19A1	AD	AD	AD;AR
CYP1A2	AD		
CYP1B1	AR	AR	AD;AR
CYP21A2	AR	AR	AR
CYP24A1	AR	AR	AR
CYP27A1	AR	AR	AR
CYP27B1	AR	AR	AR
CYP2A6	ADAR	AD;AD,Somatic mutation	
CYP2B6	ADAR		
CYP2C19	AR	AR	
CYP2C8	AR		
CYP2C9	AD	AD	
CYP2D6	AD	AR	
CYP2R1	AR	AR	AR
CYP2U1	AR	AR	AR
CYP3A4	ADAR	AD	AD
CYP4F2	AR		
CYP4F22	AR	AR	AR
CYP4V2	AR	AR	AR
CYP7B1	AR	AR	AR
D2HGDH	AR	AR	AD;AR
DAG1	AR	AR	AR
DAPK1	AD		AD
DARS1	AR	AR	AR
DARS2	AR	AR	AD;AR
DAZ1	YL		
DAZ2	YL		
DAZ4	YL		
DBH	AR	AR	AR
DBT	AR	AR	AR
DCAF17	AR	AR	AR
DCC	AD	AD;AR	AD;AR
DCLRE1C	AR	AR	AR
DCTN1	AD	AD;AR,AD	AD
DCTN2	AR		
DCX	XLD	XL	AR;XL;XLD;XLR
DCXR	AR	AR	AR
DDB2	AR	AR	AR
DDC	AR	AR	AR
DDHD1	AR	AR	AR
DDHD2	AR	AR	AR
DDOST	AR	AR	AR
DDR2	AR	AD;AR	AD;AR
DDX11	AR	AR	AD;AR
DDX3X	XLD	XLD,XLR	AR;XL;XLR
DDX3Y	YL		
DDX41	AD	AD	AD
DDX59	AR	AR	AR
DEAF1	ADAR	AD;AR	AD;AR;sD
DEGS1	AR	AR	AR
DEPDC5	AD	AD	AD
DEPTOR	AR		
DES	AD	AD;AR,AD	AD;AR;sD
DGKE	AR	AR	AR
DGUOK	AR	AR	AR
DHCR24	AR	AR	AR
DHCR7	AR	AR	AR
DHDDS	AR	AD;AR	AD;AR
DHFR	AR	AR	AR
DHH	AR	AR	AD;AR
DHODH	AR	AR	AR
DHTKD1	AR	AD;AR	AD;AR
DIAPH1	AD	AD;AR	AD;AR
DIAPH2	XLD	XLD	
DICER1	AD	AD	AD
DIO1	AD	AD	
DIP2B	AD	AD	AD
DIS3L2	AR	AR	AR
DISC1	AD		
DKC1	XLR	XLR	AD;XL;XLR
DLAT	AR	AR	AR
DLD	AR	AR	AR
DLG2	AD		
DLG3	XLR	XLR	XL;XLR
DLL3	AR	AR	AR
DLX3	AD	AD	AD
DLX5	AR	AD;AR	AD;AR
DMBT1	AR		
DMD	XLR	XL;XLR	AD;XL;XLR
DMGDH	AR	AR	AR
DMP1	AR	AR	AR
DMPK	AD	AD	AD
DMRT1	AD		
DNA2	AR	AD;AR	AD;AR
DNAAF1	AR	AR	AD;AR
DNAAF11	AR	AR	
DNAAF4	AR	AD;AR	AD;AR
DNAAF6	XLR	XLR	AD
DNAH1	AR	AR	AD;AR
DNAH11	AR	AR	AD;AR
DNAH5	AR	AR	AD;AR
DNAH7	AR		AR
DNAI1	AR	AR	AD;AR
DNAJB6	AD	AD	AD
DNAJC19	AR	AR	AR
DNAJC5	AD	AD	AD
DNAL1	AR	AR	AD;AR
DNASE1	AD	AD	AD
DNASE1L2	AD		
DNASE1L3	AR	AR	AD;AR
DNM1	AD	AD	AD
DNM1L	AD	AD;AR,AD	AD;AR
DNM2	AD	AD;AR	AD;AR
DNMT1	AD	AD	AD
DNMT3A	AD	AD	AD
DNMT3B	AR	AR;Digenic dominant	AR
DOCK6	AR	AR	AD;AR
DOCK8	AR	AR	AD;AR
DOK7	AR	AR	AR
DOLK	AR	AR	AD;AR
DONSON	AR	AR	AR
DPAGT1	AR	AR	AR
DPH1	AR	AR	AR
DPM1	AR	AR	AR
DPM3	AR	AR	AR
DPP6	AD	AD	AD
DPY19L2	AR	AR	AR
DPYD	AR	AR	
DPYS	AR	AR	AR
DRD2	AD		
DRD4	AD	AD	
DRD5	AD	AD	
DSC2	ADAR	AR,AD	AD;AR;sD
DSC3	AR	AR;AR,AD	AR
DSG1	AD	AD;AR	AD;AR
DSG2	AD	AD;AR	AD;AR
DSG4	AR	AR	AD;AR
DSP	ADAR	AD;AR	AD;AR
DSPP	AD	AD	AD
DST	AR	AR	AR
DSTYK	AD	AD;AR	AD;AR
DTNA	AD	AD	AD
DTNBP1	AR	AR	AR
DUOX1	AR		
DUOX2	AR	AR	AR
DUOXA2	AR	AR	AR
DUX4L1	AD		
DVL1	AD	AD	AD
DVL3	AD	AD	AD
DYM	AR	AR	AR
DYNC1H1	AD	AD	AD
DYNC2H1	AR	AR,Digenic recessive	AR
DYNC2I1	AR	AR	AR
DYNC2I2	AR	AR	AR
DYNC2LI1	AR	AR	AR
DYRK1A	AD	AD	AD
DYSF	AR	AR	AR
DZIP1L	AR	AR	AR
EARS2	AR	AR	AR
EBF3	AD	AD	AD
EBP	XLD	XLD;XLR	XL;XLD
ECE1	AD	AD;Multifactorial	
ECEL1	AR	AR	AR
ECHS1	AR	AR	AR
ECM1	AR	AR	AR
EDA	XLD	XLD;XLR	AD;XL;XLR
EDAR	AD	AD;AR	AD;AR
EDARADD	AR	AD;AR	AD;AR;sD
EDN3	ADAR	AD;AR,AD	AD;AR;sD
EDNRA	AD	AD	AD
EDNRB	AD	AD;AR;AR,AD	AD;AR
EEF2	AD	AD	AD
EFEMP1	AD	AD	AD;AR
EFEMP2	AR	AR	AR
EFHC1	AR	AD	AD
EFNB1	XLD	XLD	XL
EFTUD2	AD	AD	AD
EGFR	AR	AD,Somatic mutation;AR	AD;AR
EGLN1	AD	AD	AD
EGR2	ADAR	AD;AR,AD	AD;AR;sD
EHMT1	AD	AD	AD
EIF2AK3	AR	AR	AR
EIF2AK4	AR	AR	AD;AR
EIF2B1	AR	AR	AR
EIF2B2	AR	AR	AR
EIF2B3	AR	AR	AR
EIF2B4	AR	AR	AR
EIF2B5	AR	AR	AR
EIF3H	AR		
