genes	HGMD_inheritance	OMIM_inheritance	GeneCC_inheritance
GLNS		AR	
GLO2		AD	
GLOW		AD	
GLP		AR	
GLRA2		XL	
GLS		AD;AR	AD;AR
GLS1		AD;AR	
GLSS		AD	
GLT25D1		AR	
GLT28D1		XL	
GLTSCR1		AD	
GLUD2		Multifactorial,AD	
GLUR1		AD;AR	
GLUR2		AD	
GLUR3		XLR	
GLUR4		AD	
GLUR6		AD;AR	
GLUT1		AD;AR,AD	
GLUT10		AR	
GLUT1DS		AD;AR,AD	
GLUT2		AD;AR	
GLUT9		AR,AD	
GLVR2		AD	
GLXR		AR	
GLYA		AR	
GLYB		AR	
GLYBP		AR	
GLYCQTL		AR	
GLYCTK1		AR	
GLYT1		AR	
GLYT2		AR,AD	
GM130		AR	
GMA		AR	
GMNN		AD	AD
GNAI1		AD	AD
GNAI2B		AD	
GNAI3		AD	AD
GNAS-AS1		AD	
GNAS1		AD;Somatic mutation	
GNASAS		AD	
GNASAS1		AD	
GNB2		AD	
GNB4		AD	AD
GNB5		AR	AR
GNPTA		AR	
GNPTAG		AR	
GNRH1		AR	AD
GNT1		AR;AR,AD	
GO		AR	
GOLGA2		AR	
GOLTC1		AR	
GON7		AR	
GOSPEL		AD	
GOT2		AR	AR
GOUT1		?AD	
GOUT4		AD	
GP2B		AD;AR	
GP39		AD	
GP3A		AR	
GP75		AR	
GPAPP		AR	
GPBP		AD	
GPC4		XLR	AR;XLR
GPCR41		AR	
GPCR42		AD	
GPD		AR;AR,AD	
GPD2		AD	AD
GPDS1		AD	
GPH		AR	
GPHYSD1		AR	
GPHYSD2		AD	
GPHYSD3		AD;AR	
GPI2		AR	
GPI7		AR	
GPI8		AR	
GPIBD15		AR	
GPIBD16		AR	
GPIBD18		AR	
GPIBD19		AR	
GPIBD21		AR	
GPIBD25		AR	
GPIV		AR	
GPL		AD	
GPNMB		AR	AR
GPOA		AD	
GPR158L		AR	
GPR158L1		AR	
GPR159		AR	
GPR161		AR,AD,Somatic mutation	AD
GPR172A		AR	
GPR172B		AD	
GPR177		AR	
GPR48		AD	
GPR51		AD	
GPR54		AD;AR	
GPR56		AR	
GPR64		XL	
GPR68		AR	AR
GPR73L1		AD	
GPR88		AR	AR
GPR98		AD;AR,Digenic dominant	
GPRASP2		XLR	XL
GPS		AR	
GPSA		AD;Somatic mutation	
GPSN2		AR	
GPSN2L		AR	
GPXD		AR	
GRACILE		AR	
GRAP		AR	AR
GRB1		AD;AR	
GRD1		AR	
GRDF		AD	
GREM2		AD	
GRG6		AR	
GRIA1		AD;AR	
GRIA2		AD	AD
GRIA4		AD	AD
GRIDHH		AR	
GRIM19		AR	
GRIN2D		AD	AD
GRIP1		AR	AR
GRIP103		AR	
GRIPE		AR	
GRL		AD	
GRM1A		AD;AR	
GRM7		AR	AR
GRNG		AR	
GROS1		AR	
GRP75		AD;AR	
GS		AD	
GS1		AR	
GS2		AR	
GS27		AR	
GSA7		AR	
GSAS		AD;AR	
GSBS		AR,AD	
GSC		AR	AR
GSD10		AR	
GSD11		AR	
GSD12		AR	
GSD13		AR	
GSD14		AR	
GSD15		AR	
GSD4		AR	
GSD7		AR	
GSD9A		XLR	
GSD9C		AR	
GSH2		AR	
GSHS		AR	
GSL		AR	
GSM1		AD	
GSP		AD	
GSRD		AR	
GSTZ1		AR	AR
GSX2		AR	
GT1		AD;AR	
GT198		AR	
GT2		AR	
GTAR		AD	
GTB		AR	
GTBP		AD;AD,Somatic mutation;AR	
GTC90		AR	
GTDC2		AR	
GTF2E2		AR	AR
GTF3B		AR	
GTPBP2		AR	AR
GTPTS		AD	
GTS		AD	
GTT1		AD	
GUBS		AD	
GUC1A3		AR	
GUC2C		AD;AR	
GUC2D		AD;AR;AR,AD	
GUCSA3		AR	
GUCY1A1		AR	AR
GUCY1A3		AR	
GUCY2C		AD;AR	AD;AR
GUF1		AR	AD
GUM		AD;AR	
GURDP		AR	
GUST		XL	
GVM		AD	
GW182		AD	
GXP1		XLR	
GYS		AR	
GZF1		AR	AR
H		AR	
H1-4		AD	AD
H11		AD	
H1F4		AD	
H3-3A		AD	AD
H3-3B		AD	
H3F3		AD	
H3F3A		AD	
H3F3B		AD	
H4C11		AD	
H4C3		AD	
H4C5		AD	
H4C9		AD	
H4FE		AD	
H4FG		AD	
H4FJ		AD	
H4FM		AD	
H4M		AD	
H6		AR	
H6PD		AR	AD;AR
HAAH		AR	
HAAO		AR	AR
HABP1		AR	
HABP2		AD	
HACD1		AR	AD;AR
HACE1		AR	AR
HACS2		XLR	
HACXL		XLR	
HADDS		AD	
HADDTS		AD	
HADH2		XLD	
HADHSC		AR	
HAE1		AD;AR,AD	
HAE2		AD;AR,AD	
HAE3		AD;AR	
HAE4		AD;AR	
HAE5		AD	
HAE6		AD;AR	
HAE7		AD	
HAE8		AD	
HAEADA		XLR	
HAF		AD;AR	
HAFOUS		AD	
HAGH		AD	
HAI2		AR	
HAKA1		AR	
HAKRA		AR	
HAKRD		AR	
HALAH		AD	
HALD2		AD;AR	
HALD4		AD	
HANAC		AD	
HANK		AD	
HAP		AR,AD	
HAPO		AR	
HARP		AR	
HARPO		AR;AR,AD	
HARS		AD;AR	
HARSL		AR	
HARSR		AR	
HAUSP		AD	
HAVCR2		AR	
HAYOS		AR;AR,AD	
HB1		AD;AR	
HB3		AD;AR	
HB5		AR	
HB6		AD	
HBFQTL2		AD	
HBFQTL3		XL	
HBFQTL5		AD	
HBFQTL6		AD	
HBH		AD	
HBHR		AD	
HBLD2		AR	
HBLRR		Digenic recessive	
HBMS		AR	
HBP231		AD	
HBSL		AR	
HBT		AD	
HBVES		AR	
HC2		AD	
HCA2		AD	
HCAM3		AD	
HCAP		AD	
HCCA2		AR	
HCCA3		AR	
HCCS1		AR	
HCD		Multifactorial	
HCDH1		AD	
HCF1		XLR	
HCF2		AD	
HCFP1		AD	
HCFP2		AD	
HCFP3		AR	
HCG		XLD	
HCHO		AR	
HCHOLA3		AD	
HCIN		AD;AR	
HCINF1		AR	
HCINF2		AD;AR	
HCL3		AR	
HCLAP		AR	
HCLK2		AR	
HCN1		AD	AD
HCN2		AD	
HCP1		AR	
HCRP1		AR	
HCS		AR	
HCVS		AD	
HD		AD;AR	
HDAC6		XLD	XL
HDACA		AD	
HDC		AD	AD
HDCPH1		AD	
HDFNRH		Isolated cases	
HDHC7		AR	
HDHC9		AR	
HDKR		XLD;XLR	
HDL2		AD	
HDL3		AR	
HDL4		AD;Multifactorial,AD	
HDLCQ10		AD	
HDLCQ11		AD;AR	
HDLCQ12		AD;AR	
HDLCQ7		AD;AR	
HDLCQTL13		AD;AR	
HDLS1		AD;AR	
HDLS2		AD;AR	
HDPTP		AR	
HDR		AD	
HDRS		AD	
HDS		AD;AR	
HE1		AR	
HE6		XL	
HEAB		AR	
HEATR2		AR	
HEATR3		AR	
HECW2		AD	AD
HED1		XLD;XLR	
HED2		AD;AR;AR,Digenic dominant	
HEDJ		AD	
HEEW1		AR	
HEL1		AD	
HELIX		AR	
HELLS		AR	AR
HELO1		AD	
HEM1		AR	
HEMA		XLR	
HEMARS		AR	
HEMB		XL;XLR	
HEMPAS		AD;AR	
HEN2		AR	
HEPC		AR	
HEPHL1		AR	
HER2		AR	
HER4		AD	
HERC1		AR	AR
HERG		AD	
HERNA		AD	
HERNS		AD;AR,AD	
HESJAS		AD	
HEY		YL	
HF1		AD;AR,AD	
HFARP		AD	
HFASD		AD	
HFE1		AD;AR;AR,AD	
HFE2A		AR	
HFE2B		AR	
HFE3		AR	
HFE4		AD	
HFE5		AD	
HFH4		AD	
HFL1		AD;AR,AD	
HFM1		AR	AR
HFS		AR	
HFTC1		AR	
HFTC2		AD;AR	
HFTC3		AR	
HGCLAS		AR	
HGF5		AD	
HGFAL		AD	
HGPPS1		AR	
HGPPS2		AD;AR	
HGPS		AD;AR	
HH		AR	
HH1		XLR	
HH10		AR	
HH11		AR	
HH12		AR	
HH13		AR	
HH14		AD;AR	
HH15		AD	
HH16		AD	
HH17		AD	
HH18		AR,Digenic dominant,AD	
HH19		AD	
HH2		AD	
HH20		AD	
HH21		AD	
HH22		AR	
HH23		AR	
HH24		AR	
HH25		AD	
HH26		AD;AR,AD	
HH27		AR	
HH3		AD	
HH4		AD	
HH5		AD	
HH6		AD	
HH7		AR	
HH8		AD;AR	
HH9		AD	
HHAT		AR	AR
HHC1		AD;AR,AD	
HHC2		AD	
HHC3		AD	
HHD		AD	
HHF1		AD;AR,AD	
HHF2		AD;AR,AD	
HHF3		AD;AR	
HHF4		AR	
HHF5		AD;AR	
HHF7		AD;AR,AD	
HHF8		AR	
HHH		AR	
HHIRK1		AD	
HHP		AD	
HHPP		AD	
HHRH		AR	
HHRRD		AR	
HHS		AD;AR	
HHT1		AD	
HHT2		AD	
HHT4		AD	
HHT5		AD	
HIAA0929		AD	
HIC		AR	
HID		AD;AR,Digenic dominant	
HID1		AR	
HIDEA		AR	
HIES		AD	
HIES3		AR	
HIES4A		AD;AR	
HIES4B		AD;AR	
HIES5		AR	
HIF2A		AD	
HIFPH2		AD	
HIGM1		XLR	
HIGM2		AR	
HIGM5		AR	
HIHGHH		AD	
HIKESHI		AR	AR
HINCONS		AD	
HINT5		AR	
HIPER1		AD,Somatic mutation;AR	
HIPI3		AD	
HIPPI		AR	
HIRIP		AR	
HISCA		AR	
HISPPD1		AR	
HIST1H1E		AD	
HIST1H4C		AD	
HIST1H4E		AD	
HIST1H4I		AD	
HIST1H4J		AD	
HIVEP2		AD	AD
HJCYS		AD	
HJDD		AR	
HJMD		AR	
HJUMPY		AD	
HK33		AR	
HKD		AD;AR	
HKDC1		AR	
HKE4		AR	
HKLLS1		AR	
HKLLS2		AR	
HKLLS3		AR	
HKPX1		AR,AD	
HKPX2		AR	
HKPX3		AR,AD	
HKPX4		AR	
HKRP1		AR	
HKRP2		AD;AR	
HKTD		AR	
HL		AD;AR	
HL1		AR	
HL11		AR	
HLA-C		Multifactorial	
HLA-DQA1		AR,Multifactorial	
HLA-DQB1		AD;AR,Multifactorial;Multifactorial	
HLA-DRB1		AD;Multifactorial	
HLA-G		AD	
HLA-H		AD;AR;AR,AD	
HLASA		AR	
HLD1		XLR	
HLD10		AR	
HLD11		AR	
HLD12;DYT32		AR	
HLD13		AR	
HLD14		AR	
HLD15		AR	
HLD16		AD	
HLD17		AR	
HLD18		AR	
HLD19		AD	
HLD2		AD;AR	
HLD20		AR	
HLD21		AR	
HLD22		AD	
HLD23		AR	
HLD24		AD	
HLD25		AD	
HLD26		AR	
HLD3		AR	
HLD4		AD;AR	
HLD5		AR	
HLD6		AD	
HLD7		AR	
HLD8		AD;AR	
HLD9		AR	
HLF4		AD;AR,AD	
HLH1		AR	
HLH3		AR	
HLH4		AR	
HLHS1		AD;AR	
HLHS2		AD	
HLN2		AR	
HLP3		AD	
HLR2		AD	
HLRC1		AR	
HLRCC		AD;AR	
HLS		AR	
HLS2		AR	
HLTRS		AD;AR	
HLTS		AD;AR	
HLXB9		AD	
HMAG		AR	
HMAT1		AR	
HMCN1		AD	AD
HMCS		AR	
HMD		AD	
HMERF		AD;AR	
HMG2A		XL	
HMG4		XL	
HMGA1		AD	AD
HMGB3		XL	
HMGIC		AD	
HMGIY		AD	
HML		AR	
HMLR1		AR	
HMLR2		AR;AR,AD	
HMMR		AD,Somatic mutation	
HMMS		AR	
HMN2A		AD	
HMN2B		AD	
HMN2C		AD	
HMN2D		AD	
HMN5		AD;AR	
HMN5A		AD	
HMN5B		AD;AR	
HMN5C		AD;AR	
HMN6		AR	
HMN7A		AD;AR	
HMN7B		AD;AR,AD	
HMN9		AD	
HMNDYT1		AR	
HMNDYT2		AD;AR	
HMNMYO		AR	
HMOX1D		AR	
HMPS1		AD	
HMS		AR	
HMS1		XL	
HMSN2C		AD	
HMSN5		AD	
HMSN6A		AD;AR	
HMSN6B		AR	
HMSN6C		AR	
HMSNL		AR	
HMSNP		AD;AR	
HMSNR		AD;AR	
HMT1		AR	
HNARMD		AD;AR	
HND		AD;AR;AR,Digenic recessive	
HNF2		AD	
HNFJ3		AD	
HNMT		AD;AR	AR
HNPCC4		AR	
HNPCC6		AD	
HNPCC7		AD,Somatic mutation	
HNRNPA1		AD	AD
HNRNPA2B1		AD	AD
HNRNPDL		AD	AD
HNRNPH1		AD	
HNRNPH2		XLD	XL
HNRNPK		AD	AD
HNRNPR		AD	AD
HNRPA2B1		AD	
HNRPDL		AD	
HNRPH1		AD	
HNRPK		AD	
HNRPR		AD	
HNRPU		AD	
HO3		AR	
HO68		AD;AR	
HOA		AD;AR	
HOD		AD;AR	
HOIL1		AR	
HOKPP1		AD;AR,AD	
HOKPP2		AD;AR	
HOMER2A		AD	
HOMER2B		AD	
HOMG1		AR	
HOMG2		AD	
HOMG3		AR	
HOMG4		AR	
HOMG5		AR	
HOMG6		AD;AR,AD	
HOMG7		AD	
HOMGSMR		AD;AR,AD	
HOMGSMR2		AD	
HOP2		AR	
HOPA		XLD;XLR	
HOPS		AR;AR,AD	
HOX10		AR	
HOX1F		AR	
HOX1I		AD	
HOX1J		AD	
HOX2I		AR	
HOX3G		AR	
HOX4D		AD	
HOX4I		AD	
HOX7		AD	
HOX8		AD	
HOXHB9		AD	
HP3		AR	
HPA2		AR	
HPABH4B		AR;AR,AD	
HPAFP		AD;AR	
HPALP1		AD;AR	
HPALP2		AD;AR	
HPANBH4		AR	
HPBKS		AR	
HPC1		AD	
HPC2		AR	
HPCA		AR	AR
HPDL		AR	AR
HPDR1		XLD	
HPDR2		AD;AR	
HPE1		AD,Isolated cases	
HPE11		AD	
HPE12		AD	
HPE13		XL;XLD,XLR	
HPE14		AR	
HPE2		AD	
HPE3		AD	
HPE4		AD	
HPE5		AD	
HPE7		AD	
HPE9		AD	
HPH1		AR	
HPLH1		AR	
HPLH2		AR	
HPLH3		AR	
HPLH4		AR	
HPMRS1		AR	
HPMRS2		AR	
HPMRS3		AR	
HPMRS4		AR	
HPMRS5		AR	
HPMRS6		AR	
HPP		AD;AR	
HPPA		AR;AR,AD	
HPPC		AR;AR,AD	
HPPD		AD	
HPPI		AR;AR,AD	
HPPO		AR;AR,AD	
HPR1		AD	
HPRHP		AD	
HPRL		AD;AR,AD	
HPRP3		AD	
HPRP4		AD	
HPRT		XLR	
HPS10		AR	
HPS11		AR	
HPS2		AR	
HPS7		AR	
HPS8		AR	
HPS9		AR	
HPT		XL	
HPTX		XL	
HR54		AD,Somatic mutation	
HRAD54		AD,Somatic mutation	
HRCDF		AR	
HRD		AR	
HRG4		AD	
HRI		AD	
HRM1		AD;AR	
HRM2		AD	
HRPAP20		AR	
HRPT2		AD	
HRPT4		AD;AR,AD	
HRPTTN		AR	
HRS		AD	
HRTFDS		AD	
HRX		AD	
HRZ		AD	
HS2		AD	
HS2ST1		AR	
HS3		AD;AR	
HS3ST6		AD	
HS6ST		AD	
HS6ST1		AD	AD
HS6ST2		XLR	XL
HSAL1		AD	
HSAL2		AR	
HSAL4		AD	
HSAN		AD	
HSAN2		AD;AR	
HSAN2B		AR	
HSAN2D		AD;AR	
HSAN5		AR	
HSAN6		AR	
HSAN7		AD	
HSAN8		AR	
HSAN9		AR	
HSC20		AR	
HSCB		AR	
HSCO		AR	
HSCR1		AD	
HSCR2		AD;AR;AR,AD	
HSCR3		AD	
HSCR4		AD;AR,AD	
HSCR5		AD	
HSD		AR	
HSD10MD		XLD	
HSD11		AD	
HSD11B1		AD	AD
HSD11K		AR	
HSD11L		AD	
HSD17B13		AD	
HSD3		AR	
HSF		AD;AR;Multifactorial;Somatic mutation	
HSF2BP		AR	AR
HSJ1		AR	
HSM1		AR	
HSN1		AD	
HSN1B		AD	
HSN1C		AD	
HSN1D		AD	
HSN1E		AD	
HSN1F		AD	
HSN2		AD;AR	
HSN2C		AD;AR;AR,AD	
HSP27		AD	
HSP60		AD;AR	
HSPA9		AD;AR	AD;AR
HSPA9B		AD;AR	
HSPC133		AR	
HSPC143		AR	
HSPC150		AR	
HSPC212		AR	
HSPC264		AR	
HSPF3		AR	
HSPL27		AD	
HSR		AD	
HSS		AD;AR	
HSS1		AR	
HSST		AR	
HSTD		AR,AD	
HT		AD	
HT2A		AR	
HTATIP		AD	
HTC1		AD	
HTC2		XLD	
HTC3		AR	
HTF4		AD;AR,AD	
HTGH		AR	
HTGTI		AR	
HTK		AD	
HTLVR		AD;AR,AD	
HTNB		AD	
HTR1A		AD	AD
HTR2A		AD;Multifactorial	
HTRA3		AD	
HTRDC		AR	
HTS		AD	
HTSS1		AD;AR	
HTSS2		AD;AR	
HTX		XLR	
HTX1		XLR	
HTX10		AR	
HTX11		AR	
HTX12		AR	
HTX2		AD	
HTX5		AD	
HTX6		AR	
HTX7		AR	
HTX8		AR	
HTX9		AR	
HUEL		AR	
HUK4		AD	
HUMOP2		AD	
HUP2		AD;AR,AD;Somatic mutation	
HUS		AD;AR,AD	
HVDAS		AD	
HVEC		AR	
HVLI		AR	
HWE1		AD	
HXB		AD	
HXC26		XLR	
HYC1		AD;AR	
HYC2		AR	
HYC3		AR	
HYC4		AD	
HYC5		AD	
HYCC1		AR	
HYCX		XLR	
HYD1		AD	
HYDIN1		AR	
HYDM		AR	
HYDM2		AR	
HYDM3		AR	
HYDM4		AR	
HYDNP1		AD;AR	
HYGN1		AR	
HYOU1		AR	
HYP		XLD	
HYPB		AD	
HYPL		AD;AR,AD	
HYPL1D		AR	
HYPOC1		AD;AR,AD	
HYPOC2		AD	
HYPOFP		AD	
HYPP		AD;AR	
HYPT1		AD	
HYPT10		AR	
HYPT11		AD	
HYPT12		AD	
HYPT13		AD	
HYPT14		AR	
HYPT15		AR	
HYPT2		AD;AR	
HYPT3		AD;AR	
HYPT5		AD	
HYPT6		AR	
HYPT7		AR	
HYPT8		AR	
HYPT9		AR	
HYPTRP		AR	
HYPX		XL	
HYRC1		AR	
HYSP1		AD,Somatic mutation;XLR	
HYSP2		XLR	
HYSP3		Multifactorial,AD	
HYT1		Multifactorial	
HYT2		Multifactorial	
HYT3		Multifactorial	
HYT4		Multifactorial	
HYT5		Multifactorial	
HYT6		Multifactorial	
HYTG2		AD	
IAHSP		AR	
IAN4L1		AR	
IAP		XLR	
IARS		AR	
IARS1		AR	AR
IB1		AD	
IBD1		AD;Multifactorial	
IBD11		Multifactorial	
IBD21		AD	
IBD25		AR	
IBD28		AR	
IBD29		AD	
IBD3		AD	
IBD30		AD	
IBD31		AR	
IBDIMDE		AD;AR	
IBGC1		AD	
IBGC2		AD	
IBGC4		AD	
IBGC5		AD	
IBGC6		AD	
IBGC7		AR	
IBGC8		AR	
IBM2		AD;AR	
IBMPFD1		AD	
IBMPFD2		AD	
IBMPFD3		AD	
IBMWMA		AD	
IBP		AR	
IBSN		AR	
IC2		AR	
ICAS		AD	
ICCA		AD	
ICF1		AR;Digenic dominant	
ICF2		AR	
ICF3		AR	
ICF4		AR	
ICF45		AR	
ICH		AD;AR	
ICHYN		AR	
ICK		AD;AR	
ICP1		AD;AR	
ICP3		AR;AR,AD	
ICPPS		AD;AR	
ICR		AR	
ICR1		AD;AD,Somatic mutation	
ICR2		AR	
ICR2B		AR	
ICRD		AR;AR,AD	
ICS		AR	
ICSBP1		AD;AR	
IDA		AR	
IDAS		AR	
IDD		AD;AR	
IDDABS		AR	
IDDADF		AR	
IDDALDS		AD	
IDDAM		AD	
IDDAS		AD	
IDDBCS		AD	
IDDCA		AR	
IDDCDF		AR	
IDDDFP		AD	
IDDEBF		AR	
IDDECA		AD	
IDDFBA		AD	
IDDFSDA		AR	
IDDFSTA		AD	
IDDHBA		AD	
IDDHDF		AD	
IDDHISD		AD	
IDDILF		AD	
IDDM1		AR	
IDDM10		AR	
IDDM12		AD	
IDDM2		AD;AR,AD	
IDDM20		AD;AR	
IDDMDS		AR	
IDDMOH		AD	
IDDMSSD		AD	
IDDNPF		AR	
IDDPADS		AR	
IDDPN		AR	
IDDRP		AR	
IDDSADF		AD	
IDDSAPN		AR	
IDDSELD		AD	
IDDSFAS		AR	
IDDSSA		AR	
IDDSSAD		AD;AR	
IDDSSBA		AR	
IDG2		AD	
IDH3A		AR	
IDLDP		AD	
IDMYS		AD;AR	
IDNADFS		AD	
IDPOGSA		AR	
IECN2		AR	
IEG16		AD;AR	
IF		AR	
IFAP		XLR	
IFAP2		AD	
IFCR		AR	
IFG		AD;AR	
IFGR2		AR	
IFI		AD;AR	
IFI15		AR	
IFI4		AD;AR	
IFI41		AR	
IFI75		AR	
IFITM5		AD	AD
IFNAR1		AR	
IFNAR2		AR	AR
IFNB2		AD;AR;Multifactorial;Somatic mutation	
IFNG		AD;AR	
IFNGT1		AR	
IFPS		AR	
IFT27		AR	AR
IFT52		AR	AR
IFT56		AR	
IFT57		AR	
IFT74		AR	AR
IGA		AR	
IGAD1		AR,AD,Isolated cases	
IGAN1		?AD	
IGAN2		?AD	
IGAN3		AD	
IGAT		AR	
IGB		AR	
IGBP1		XLR	AD;XL;XLR
IGDC1		XLR	
IGDS2		AD	
IGF2		AD	AD;ADm
IGF2BP2		AD	
IGFR2		AD;AR	
IGFR3		AR	
IGHD1A		AD;AR	
IGHD1B		AD;AR	
IGHD2		AD;AR	
IGHD3		XLR	
IGHD4		AR	
IGHR		AD	
IGKC		AR	
IGKCD		AR	
IGKJRB1		AD	
IGL5		AR	
IGM		XLR	
IGNT		AR	
IGO		AR	
IGS1		AR	
IGS2		AR	
IGSF3		AR	AR
IGSF4B		AD	
IH		AD	
IHG1		AR	
IHL		AD;AR,AD	
IHPM		AR	
IHPRF1		AD;AR	
IHPRF3		AR	
IHPS		Multifactorial,AD	
IHPS1		Multifactorial,AD	
Ii		AD;AR	
IIAE1		AR	
IIAE10		AD	
IIAE3		AD	
IIAE4		AR;AR,AD	
IIAE5		AD	
IIAE6		AR,AD	
IIAE7		AD	
IIAE8		AD	
IIAE9		AR	
IK1		AD	
IKAP		AR;AR,AD,Somatic mutation	
IKBA		AD	
IKBKA		AR	
IKBKAP		AR;AR,AD,Somatic mutation	
IKBKB		AD;AR	AD;AR
IKBR		AR	
IKK1		AR	
IKKA		AR	
IKSHD		AR,AD	
IKZF3		AD	
IKZF5		AD	AD
IL10R		AR	
IL12B		AR	AR
IL13		AD	
IL17R		AR	
IL17RC		AR	AD
IL17RD		AR,Digenic dominant,AD	AD
IL17RL		AR	
IL18BP		AR	
IL1F5		AR	
IL1F7		AR	
IL1H4		AR	
IL1HY1		AR	
IL1R8		XLR	
IL1RP1		AR	
IL1RP3		AR	
IL21		AR	AR
IL2R		AR	
IL2RA		AR	AR
IL2RB		AR	AR
IL37		AR	
IL4R		AD	
IL4RA		AD	
IL6		AD;AR;Multifactorial;Somatic mutation	
IL6QTL		AR	
IL6R		AR	
IL6RQ		AR	
IL6ST		AD;AR	AR
IL7		AR	AR
IL7RA		AR	
IL8R2		AR	
IL8RB		AR	
ILA		AR	
ILD1		AR,AD	
ILD2		AD	
ILFS1		AR	
ILFS2		AR	
ILFS3		AR	
ILLD		AD;AR	
ILVASC		AR	
IMAGE		AD	
IMAGEI		AD;AR	
IMAP3		AR	
IMD1		XLR	
IMD10		AD;AR	
IMD100		AD	
IMD101		AD	
IMD102		XLR	
IMD103		AR	
IMD104		AR	
IMD105		AR	
IMD106		AR	
IMD107		AD;AR	
IMD108		AR;AR,AD	
IMD109		AR	
IMD11A		AD;AR	
IMD12		AR	
IMD13		AD	
IMD14A		AD;AR;Digenic recessive	
IMD14B		AD;AR;Digenic recessive	
IMD15A		AD;AR	
IMD15B		AD;AR	
IMD16		AR	
IMD17		AR	
IMD18		AR	
IMD19		AR	
IMD2		XLR	
IMD20		AR	
IMD21		AD;AD,Somatic mutation	
IMD22		AR	
IMD23		AR	
IMD24		AR	
IMD25		AR	
IMD26		AR	
IMD27A		AD;AR	
IMD27B		AD;AR	
IMD28		AR	
IMD29		AR	
IMD30		AR	
IMD31A		AD;AR	
IMD31B		AD;AR	
IMD31C		AD;AR	
IMD32A		AD;AR	
IMD32B		AD;AR	
IMD33		XL;XLD;XLR	
IMD34		XLR	
IMD35		AR	
IMD36		AD;AR	
IMD37		AR	
IMD38		AR	
IMD39		AR	
IMD4		XLR	
IMD40		AR	
IMD41		AR	
IMD42		AR	
IMD43		AD;AR	
IMD44		AR	
IMD45		AR	
IMD46		AR	
IMD48		AR	
IMD49		AD	
IMD5		XLR	
IMD50		XLR	
IMD51		AR	
IMD52		AR	
IMD53		AR	
IMD54		AR	
IMD55		AR	
IMD56		AD;AR	
IMD57		AD;AR	
IMD58		AR	
IMD59		AR	
IMD60		AD	
IMD61		XLR	
IMD62		AR	
IMD63		AR	
IMD64		AR	
IMD67		AR	
IMD68		AR	
IMD69		AD;AR	
IMD7		AR	
IMD70		AD	
IMD71		AR	
IMD72		AR	
IMD73A		AD;AR	
IMD73B		AD;AR	
IMD73C		AD;AR	
IMD74		XLD;XLR	
IMD75		AR	
IMD76		AR	
IMD77		AD	
IMD78		AR	
IMD79		AR	
IMD8		AR	
IMD80		AR	
IMD81		AR	
IMD82		AD	
IMD83		AR,AD	
IMD84		AD	
IMD85		AD	
IMD86		AR	
IMD87		AR	
IMD88		AR	
IMD89		AR	
IMD9		AD;AR	
IMD90		AR	
IMD91		AR	
IMD92		AR	
IMD93		AR	
IMD94		AD;AR	
IMD95		AD;AR	
IMD96		AR	
IMD97		AR	
IMD98		XL,Somatic mosaicism	
IMD99		AR	
IMDDHH		AD	
IMF1		AD	
IMF2		AD	
IMMAS		AD	
IMMD		AD	
IMNEPD		AR	
IMNEPD2		AD;AR	
IMP2		AD	
IMP3		AR	
IMPA3		AR	
IMPAD1		AR	
INAD1		AR	
INAVA		AD	
IND1		AR	
INDMS		AR	
INDX		XLD	
INI1		AD	
INLU		AD	
INPP5K		AR	AR
INSDM		AD	
INT1		AR	
INT2		AR	
INT4		AR	
INT8		AR	
INTS1		AR	AR
INTS8		AR	AR
INTU		AR	AR
INV		AR	
IO		AD	
IOLOD		AD;AR	
IOSCA		AD;AR	
IP		XL;XLD;XLR	
IPAF		AD	
IPD1		AR	
IPEX		XLR	
IPF1		AD;AR	
IPHAK		AR	
IPLA2		AR	
IPM150		AD;AR,AD	
IPM200		AD;AR	
IPO8		AR	
IPORIN		AR	
IPS		AR	
IPT		AR	
IQCE		AR	AR
IQCN		AR	
IQSEC1		AR	AR
IRA1		AD	
IREB2		AR	AR
IREG1		AD	
IREL		AR	
IRF2BP2		AD	AD
IRF2BPL		AD	AD
IRF3		AD	
IRF7		AR	AR
IRF7A		AR	
IRF7B		AR	
IRF7C		AR	
IRF7H		AR	
IRF9		AR	
IRHOM2		AD	
IRID1		AD	
IRIDA		AR	
IRIP		AR	
IRK1		AD	
IRS2		AD	
IRS4		XLR	XL
IRX5		AR	AR
IS1		AD	
ISCA1		AR	AR
ISCA2		AR	AR
ISD11		AR	
ISDNA		AR	
ISG15		AR	AR
ISG43		AR	
ISGF3		AR	
ISGF3G		AR	
ISPD		AR	
ISQMR		AD;AR	
ISSX		XL;XLD;XLR	
IT15		AD;AR	
ITBA2		XLR	
ITF2		AD	
ITGA3		AR	AR
ITGA8		AR	AR
ITGB6		AR	AD;AR
ITM1		AD;AR	
ITPA		AR	AR
ITPR2		AR	AR
ITPR3		AD;AR	
IVIC		AD	
IVNS1ABP		AD	AD
JABELS		AR	
JAC1		AR	
JAE		AD	
JAGN1		AR	AR
JAK1		AD	
JAKL		AR	
JAM2		AR	AD;AR
JAM3		AR	AR
JARID1B		AR	
JARID1C		XLR	
JARID2		AD	AD
JBS		AR;Isolated cases	
JBTS1		AR	
JBTS10		XLD;XLR	
JBTS12		AR	
JBTS13		AR	
JBTS14		AR	
JBTS15		AR	
JBTS16		AR	
JBTS17		AR	
JBTS18		AR	
JBTS19		AR,AD	
JBTS2		AR	
